0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),(-0.30901699437494756-0.9510565162951535j),(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0.5877852522924731-0.8090169943749473j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0.8090169943749473+0.5877852522924731j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(0.587785252292473-0.8090169943749475j),-0j,-0j,-0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),-0j,(0.9510565162951534-0.30901699437494756j),-0j,-0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),-0j,-0j,(0.8090169943749473-0.5877852522924731j),-0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),-0j,-0j,-0j,(-0.5877852522924731-0.8090169943749473j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1+9.909098238162878e-17j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),(-0.8090169943749476-0.587785252292473j),(-0+0j),(-0+0j),0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0.9510565162951536-0.30901699437494734j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0.3090169943749474+0.9510565162951536j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.8090169943749475-0.587785252292473j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),(-0.30901699437494756-0.9510565162951535j),(-0+0j),(-0+0j),0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0.5877852522924731-0.8090169943749473j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0.8090169943749473+0.5877852522924731j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
